Issue,Characteristic,Impact
dqa_is_duplicate,Duplicate Values,Critical
dqa_is_duplicate_review_id,Duplicate IDs,Critical
dqa_has_non_english_review,Non-English Review,Critical
dqa_has_non_english_app_name,Non-English App Name,Critical
dqa_has_invalid_rating,Invalid Ratings,Critical
dqa_has_null_values,Null Values,High
dqa_has_excessive_special_chars,Excessive Special Characters,High
dqa_has_invalid_date,Invalid Dates,High
dqa_has_profanity,Profanity,High
dqa_contains_email,Contains Email Address(es),High
dqa_contains_phone_number,Contains Phone Number(s),High
dqa_vote_sum_outlier,Contains Vote Sum Outliers,Medium
dqa_vote_count_outlier,Contains Vote Count Outliers,Medium
dqa_has_emojis,Emojis,Low
dqa_contains_url,Contains URL(s),Low